MMS Id,Network Number,Bibliographic Lifecycle,Collection Name,Suppressed From Discovery,File Internal Path
991011565429704641,alma:01GCL_INST/bibs/991011565429704641; http://hdl.handle.net/11084/29801; grinnell:29801,In Repository,PHPP - Community Contributions,No,3D/CB/79/5F/E7/C3/9F/A2/6F/FD/E8/0B/DF/B3/96/A0/grinnell_29801_OBJ.jpg
991011565429804641,alma:01GCL_INST/bibs/991011565429804641; http://hdl.handle.net/11084/3373; grinnell:3373,In Repository,PHPP - Community Contributions,No,5D/42/36/47/23/D6/E6/E2/90/20/F2/28/0B/CB/E5/B2/grinnell_3373_OBJ.tiff
991011565429904641,alma:01GCL_INST/bibs/991011565429904641; http://hdl.handle.net/11084/5704; grinnell:5704,In Repository,PHPP - Community Contributions,No,18/02/8F/4A/92/58/F9/7A/3F/7D/66/39/F1/7D/16/27/grinnell_5704_OBJ.tiff
991011565430004641,alma:01GCL_INST/bibs/991011565430004641; http://hdl.handle.net/11084/29800; grinnell:29800,In Repository,PHPP - Community Contributions,No,67/2D/88/86/45/71/C5/37/BA/52/57/00/61/15/99/0D/grinnell_29800_OBJ.jpg
991011565430104641,alma:01GCL_INST/bibs/991011565430104641; http://hdl.handle.net/11084/3372; grinnell:3372,In Repository,PHPP - Community Contributions,No,C0/C5/5D/BA/1E/97/07/68/AD/FE/51/7D/9A/FA/B5/F4/grinnell_3372_OBJ.tiff
991011565430204641,alma:01GCL_INST/bibs/991011565430204641; http://hdl.handle.net/11084/6223; grinnell:6223,In Repository,PHPP - Community Contributions,No,94/2A/16/5D/53/43/DA/E0/80/B2/28/8E/20/3B/75/EA/grinnell_6223_OBJ.tiff
991011565430304641,alma:01GCL_INST/bibs/991011565430304641; http://hdl.handle.net/11084/5703; grinnell:5703,In Repository,PHPP - Community Contributions,No,C5/EB/46/64/61/A2/E1/BF/2C/E0/A3/56/45/D3/CC/60/grinnell_5703_OBJ.tiff
991011565430404641,alma:01GCL_INST/bibs/991011565430404641; http://hdl.handle.net/11084/29799; grinnell:29799,In Repository,PHPP - Community Contributions,No,2A/F5/D0/37/C8/3C/CE/C9/16/2D/62/C0/53/87/CB/0E/grinnell_29799_OBJ.jpg
991011565430504641,alma:01GCL_INST/bibs/991011565430504641; http://hdl.handle.net/11084/3371; grinnell:3371,In Repository,PHPP - Community Contributions,No,E9/E5/60/18/CF/92/7F/69/BC/7E/00/42/41/F0/D0/0C/grinnell_3371_OBJ.tiff
991011565430604641,alma:01GCL_INST/bibs/991011565430604641; http://hdl.handle.net/11084/6202; grinnell:6202,In Repository,PHPP - Community Contributions,No,93/95/4C/F9/B2/F5/D7/A5/5C/0E/02/89/8D/6A/B7/F9/grinnell_6202_OBJ.tiff
991011565430704641,alma:01GCL_INST/bibs/991011565430704641; http://hdl.handle.net/11084/5702; grinnell:5702,In Repository,PHPP - Community Contributions,No,89/76/04/F2/27/6E/52/3A/2C/69/47/D5/6D/7E/D5/97/grinnell_5702_OBJ.tiff
991011565430804641,alma:01GCL_INST/bibs/991011565430804641; http://hdl.handle.net/11084/3370; grinnell:3370,In Repository,PHPP - Community Contributions,No,35/9A/9D/A2/D5/42/70/CA/06/6E/46/42/16/C9/B5/5B/grinnell_3370_OBJ.tiff
991011565430904641,alma:01GCL_INST/bibs/991011565430904641; http://hdl.handle.net/11084/29798; grinnell:29798,In Repository,PHPP - Community Contributions,No,A9/90/F9/B4/D5/C1/F1/2D/9B/FC/B0/B5/4E/3E/05/77/grinnell_29798_OBJ.jpg
991011565431004641,alma:01GCL_INST/bibs/991011565431004641; http://hdl.handle.net/11084/6201; grinnell:6201,In Repository,PHPP - Community Contributions,No,E7/93/7E/FF/A3/DB/04/29/05/6F/2C/79/42/7E/D6/F7/grinnell_6201_OBJ.tiff
991011565431104641,alma:01GCL_INST/bibs/991011565431104641; http://hdl.handle.net/11084/5701; grinnell:5701,In Repository,PHPP - Community Contributions,No,98/40/DE/7E/3E/D3/B4/FB/81/FE/32/27/8C/9D/F6/FE/grinnell_5701_OBJ.tiff
991011565431204641,alma:01GCL_INST/bibs/991011565431204641; http://hdl.handle.net/11084/3369; grinnell:3369,In Repository,PHPP - Community Contributions,No,5B/B0/F3/0B/14/3C/63/93/8C/E7/F6/3C/E3/C4/8C/D0/grinnell_3369_OBJ.tiff
991011565431304641,alma:01GCL_INST/bibs/991011565431304641; http://hdl.handle.net/11084/29797; grinnell:29797,In Repository,PHPP - Community Contributions,No,4E/4A/2E/A7/68/52/EF/54/53/2F/68/32/2A/4A/43/7E/grinnell_29797_OBJ.jpg
