originating_system_id,dc:title,dcterms:alternative,dc:relation,compoundrelationship,group_id,collection_id,dc:type,mms_id,file_name_1,dc:identifier,dcterms:identifier.dcterms:URI,dc:creator,dc:contributor,dcterms:tableOfContents,dc:subject,dcterms:subject.dcterms:LCSH,dc:description,dcterms:provenance,dcterms:bibliographicCitation,dcterms:abstract,dcterms:publisher,dc:date,dcterms:created,dcterms:issued,dcterms:dateSubmitted,dcterms:dateAccepted,dc:format,dcterms:extent,dcterms:medium,dcterms:format.dcterms:IMT,dcterms:type.dcterms:DCMIType,dc:language,dcterms:isPartOf,dc:coverage,dcterms:spatial,dcterms:spatial.dcterms:Point,dcterms:temporal,dc:rights,dc:source,bib custom field,rep_label,rep_public_note,rep_access_rights,rep_usage_type,rep_library,rep_note,rep_custom field,file_label_1,file_name_2,file_label_2,googlesheetsource,dginfo,oldalttitle
grinnell:35360,"Photo by Jack Robertson, 1986, Photograph 21",,,,,,image,991011589620804641,grinnell_35360_OBJ.tif,grinnell:35360,,Jack Robertson,,,Students,,Photograph by Jack Robertson.,Office of Communications,,,,1986,,,,,photograph, 1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
grinnell:35378,"Photo by Jack Robertson, 1986, Photograph 24",,,,,,image,991011589543804641,grinnell_35378_OBJ.tif,grinnell:35378,,Jack Robertson,,,Students,,Photograph by Jack Robertson.,Office of Communications,,,,1986,,,,,photograph, 1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
grinnell:35379,"Photo by Jack Robertson, 1986, Photograph 25",,,,,,image,991011589543504641,grinnell_35379_OBJ.tif,grinnell:35379,,Jack Robertson,,,Students,,Photograph by Jack Robertson.,Office of Communications,,,,1986,,,,,photograph, 1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
grinnell:35380,"Photo by Jack Robertson, 1986, Photograph 26",,,,,,image,991011589543004641,grinnell_35380_OBJ.tif,grinnell:35380,,Jack Robertson,,,Students,,Photograph by Jack Robertson.,Office of Communications,,,,1986,,,,,photograph, 1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
grinnell:35381,"Photo by Jack Robertson, 1986, Photograph 27",,,,,,image,991011589542204641,grinnell_35381_OBJ.tif,grinnell:35381,,Jack Robertson,,,Students,,"Portrait of Linda Levinson, class of 1987. Photograph by Jack Robertson",Office of Communications,,,,1986,,,,,photograph, 1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
grinnell:35385,"Photo by Jack Robertson, 1986, Photograph 28",,,,,,image,991011589539604641,grinnell_35385_OBJ.tif,grinnell:35385,,Jack Robertson,,,Students,,Photograph by Jack Robertson.,Office of Communications,,,,1986,,,,,photograph, 1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
grinnell:34081,"Grinnell Relays, 1987, Photograph 1",,,,,,image,991011588495904641,grinnell_34081_OBJ.tif,grinnell:34081,,,,,Students | Student Life | Relays | South Campus,,"Students in front of South Campus on Relays day in 1987. Left to right: Unknown; Ken Jacobson, class of 1988; Gordon Schreiber, class of 1988; Rob Click, class of 1988",Office of Communications,,,,1987,,,,,photograph, 1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
grinnell:34085,"Grinnell Relays, 1987, Photograph 5",,,,,,image,991011588495504641,grinnell_34085_OBJ.tif,grinnell:34085,,,,,Students | Student Life | Relays,,"Students competing in Relays, 1987.",Office of Communications,,,,1987,,,,,photograph, 1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
grinnell:34091,"Grinnell Relays, 1987, Photograph 10",,,,,,image,991011588494904641,grinnell_34091_OBJ.tif,grinnell:34091,,,,,Students | Student Life | Relays,,"Students competing in Relays, 1987.",Office of Communications,,,,1987,,,,,photograph, 1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
grinnell:34092,"Grinnell Relays, 1987, Photograph 11",,,,,,image,991011588494804641,grinnell_34092_OBJ.tif,grinnell:34092,,,,,Students | Student Life | Relays,,"Students competing in Relays, 1987.",Office of Communications,,,,1987,,,,,photograph, 1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
grinnell:34088,"On Campus, 1987",,,,,,image,991011588495204641,grinnell_34088_OBJ.tif,grinnell:34088,,,,,Students | Student Life | Nollen House | Campus,,"Two unidentified students speak with a professor in front of Nollen House, 1987.",Office of Communications,,,,1987,,,,,photograph, 1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
grinnell:29496,"Commencement, 1987, Photograph 2",,,,,,image,991011588500504641,grinnell_29496_OBJ.tif,grinnell:29496,,,,,Commencement,,A student and another individual pose for photo at the 1987 Commencement. The student has several flower and leaf necklaces around their neck over their graduation robes.,Office of Communications,,,,1987,,,,,photograph, 1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
